harass,se2,dep2,satis2,fail2,posrel,se1,dep1,satis1,fail1
2.16,3.8,1.25,4.8,1,1.66,3.6,1.1,4.4,2
2.33,2.9,1.95,4.2,1.75,2.83,2.8,2.25,3.6,2.25
1.16,3.8,1.95,5,1.5,3.16,3.8,1.95,4.8,1
2.5,2.5,2.15,3,2,2,3.1,1.25,3.2,2
1.33,3,1.9,2.6,1,2.83,2.6,1.55,2.4,1.75
1.16,2.5,1.25,3.4,1.25,2.83,2.8,1.45,3,2
1.5,2.1,2.05,2.4,1.5,3,1.8,2.1,2.4,2
1.5,3.3,1.75,2.8,1.25,3,3.4,1.55,3.8,1.25
1.83,2.7,2.15,3.2,1.5,3.5,2.9,2.2,3.4,1.5
1.33,2.8,2.45,4,2,3.16,2.8,1.25,4,1.25
1.33,2.6,1.7,3.6,1.75,3.16,3,2.05,4.4,2.25
1,2.1,2.3,2.8,1.25,1.33,3,2.1,3.2,1.5
1.66,3.1,2,3.8,2,2.66,3.2,1.55,3.6,1.5
1.16,3.5,1.55,3.8,1.25,2.5,3.2,1.75,4,1
1.33,2.7,1.35,3.4,1.5,3,3.8,1.15,3.8,1.25
1.66,3.1,1.2,4.4,1.75,4,3.4,1.8,5,1
1.16,3.5,1.9,4.4,1.25,3.16,3.6,1.75,4,1
2.33,2.5,2.45,3,2.75,3,2.3,2.6,3.2,1.75
2.16,1.3,2.1,2.6,1.5,2.33,1.7,2.55,3,1.5
1.33,3.5,1.25,4,2,3.33,3.2,1.3,4.2,1.75
2,3,2.55,3.4,2,3.83,2.7,1.95,4,2
1.33,2.7,1.55,3.6,1.25,3,3.5,1.2,3.6,1
1,3.5,1.15,3.2,2,2.16,3.8,1.85,3.2,1.25
2.16,3.6,1.95,3.2,1.75,2.83,2.5,2.1,3.8,2.25
1.66,2.5,1.8,4,1.5,3.66,2.6,1.35,3.8,2.25
1.66,3.9,1.8,4.4,1.25,2.5,3.7,1,4.6,1
2,2.3,2.6,2.6,1.5,3.66,2.5,2.5,2.4,2.5
1.16,3.7,1.8,4.2,1,2.83,3.2,1.25,3.4,1
1.83,3.3,1.7,3.6,2,3.5,2.8,1.65,3.6,1
1.5,3.2,1.1,4,1,2.66,3.3,1.5,4,1
2.5,1,3.6,4.6,2,2.5,2,2.15,4.8,2.25
2,2.7,1.45,3.2,1.5,3.16,2.6,1.35,3.6,2.25
1.83,2.5,1.85,4,2,2.16,3.3,1,3.4,1.75
1.16,3.6,1.15,3.6,1.5,3.16,3.5,1.5,4,1
1.5,2.7,1.55,2.8,2,2.66,3.6,1.45,2.6,1.75
1.33,3,2.5,4.6,1.75,4,3.1,2.05,5,1.25
1.33,2.1,2.2,3.4,1.75,3.5,3.6,1.3,4.4,1.75
1.33,2.5,2.8,2,3.5,2.16,3.2,1.55,3,2.25
1.5,3.6,1.55,4.8,1,2.16,3.1,1.1,4.2,1
1.66,3.4,1.8,4,1.5,2.66,2.8,2.45,4,1.5
1.83,3.1,1.85,3.8,2.5,3.16,3.2,1.65,3.6,1.25
1.66,3.2,1.6,4.4,1,3.16,3.1,1.5,4.6,1.75
1.16,3.2,2.1,3,2,3.16,2.4,1.65,3.4,1
1.33,2.4,1.85,3.6,1.25,2.66,2.5,2.55,4.2,1.25
1.16,2.8,2.6,3,1.5,2.83,2.5,2.15,2.8,1.25
1.5,2.8,1.4,2.8,1.5,3.16,1.7,1,3.8,1.25
1.66,3.4,2.2,3.8,1.5,2.66,3.8,1.55,4,1.25
1.83,2,2.7,3.6,2.5,2.16,2.6,2.5,3.4,1.5
1.33,2.6,1.05,3.4,2,2.66,3.1,1.1,3.2,2
1.33,3.3,1.55,3.6,1.25,2.33,3,1.6,4.4,1
1.83,2.9,1.25,4.4,1,2.83,3.1,1.3,3.8,1.5
1,2.8,1.7,3.2,2.25,3,3,1.25,4.8,1.75
2.16,2.5,1.2,2.6,1.25,1.66,3.3,1.4,2.4,1.5
1.33,3,2.2,3.8,2.75,2.5,2.2,1.65,3.2,1.5
1.83,3.9,1.5,3.6,1.5,3.5,3.2,1.4,3.6,1.5
1.33,2.5,2.45,3.8,1.5,2,2.8,2.2,2.4,2.5
1.16,3.4,1.8,3,2.25,2.5,2.3,1.35,2.8,2
1.5,3.4,1.45,4,1.5,2.33,2.7,1.6,3.8,1.25
1.33,3.3,1.25,4,1,2,3.7,1.25,4,1.25
1,3.2,1.6,4.4,1.75,3.5,3.5,1.8,5,1.75
1.5,2.9,1.85,3,2.25,3.5,3,2.15,2.6,2.5
1.83,2.9,2.2,2.8,2.25,3.16,2.6,1.95,3.2,1.75
2,3.3,1.2,4.4,1.5,3.16,3.5,1.05,4.8,1.25
1.66,2.9,1.15,3.6,1.25,3.66,2.8,1.5,4,1
1.83,2.4,1.6,3.6,2.25,2.33,3.6,1.65,4.4,1.75
2.5,2.4,1.35,4.6,1.25,2.83,3.1,1.35,4,1.25
1,3.6,1.65,4.2,1.25,2.83,3.8,1,4.4,1.25
1.83,2.6,1.9,3.8,2,3.5,2.8,1.6,4,1.75
1.33,3.6,1.95,4.2,1,3.33,3.7,1,4.2,1.25
1.16,2.2,1.8,3,1,3.33,3.5,1.25,3.8,1.25
1.16,2.3,2.1,3,1.5,3.5,3.5,1.05,4,1.25
2.5,1.6,2.2,3.2,1.25,2.5,2.6,1.5,3.6,1.25
1,3.6,1.25,4,1,3,3.9,1.2,4.8,1
1.66,2.3,2.65,2.6,1.25,3.16,2.9,2,3,1.75
1,2.2,2.45,3.4,1.5,2.83,2.2,2.6,2.6,2.25
1.33,3.8,1.35,4.6,1.5,2.83,2.7,2.3,3.8,1.25
2,2.8,1.85,4,1.25,3.33,3.5,1.4,4,2
1.33,2.8,1.8,3,2,3.66,3.6,1.75,3.2,1.25
1.33,2.4,2.45,4.6,1.25,4,3.8,1,4.6,2
1.33,2.4,1.9,3.4,3.5,2.33,3.3,1.25,3.4,1.25
1.83,3.5,1.45,3.6,2,3.33,3.5,1.4,3.4,1.25
1,2.7,2.3,3.8,1.5,3,2.3,1.8,3.6,1.5
2,3.2,1.45,3.4,2.75,2.16,2.5,1.6,3.6,1.5
1.16,3,2.05,4.6,2,3,3.9,1.55,4.4,1
1,3.7,1.95,4,1,2.16,3.6,1,3.6,1
1.5,2.9,1.75,4.2,1.25,3.66,3.4,1.65,4.2,1.25
1.5,3.1,1.6,3.6,1.5,2.66,3,2.4,3.6,1.25
1.5,3,2.35,2.8,1.5,2.83,2.8,2.2,4,1
1.33,3.5,1.6,4,1.25,2.83,2.8,2.1,3.6,2
1.33,3.3,1.35,4.6,1.25,3.16,3.4,1.15,4.8,1
1.33,3.2,1.4,3.4,2.25,1.83,3.2,1.45,3.8,1
2,1.7,2.75,3,2.5,1.33,3.1,1.6,2.4,1.75
1.5,3.7,1.25,3.6,1,2.83,3.4,1.6,4.4,1.25
1.33,2.7,2.05,2.8,1,3.66,3,1.95,3.6,1.75
1,3.6,1.7,4,1.5,3.33,3.4,1.7,4,1.75
2,2.9,2.25,2.6,1.25,2.66,3,1.05,3,1.75
1.33,3.6,1.45,4.4,1.25,1.83,2.8,1.15,4.4,1.25
1.83,2.6,2.2,2.6,1.25,2.16,3.1,2.05,2.8,1.75
1.5,2.4,2.2,4.2,2.5,4,3.7,1.45,4.4,1.5
1.5,2.7,3.1,3.8,2,2.83,2.8,1.65,3.6,1.25
2.16,2.8,1.2,4.6,1.25,3.33,3.6,1.75,4.2,1.25
1,3.5,1.7,4,1,3.66,2.4,1.55,4.8,1
2.33,3,1.85,4.2,1.25,2.66,3.5,1.95,4.4,1.25
1,3.8,1.15,4,1.5,3.66,3.6,1,4.2,1.25
1.83,2.8,2.35,4,1.25,2.83,2.5,1.5,4.4,1.25
1.66,3.6,1.4,3.6,1.25,1.66,3.8,1.45,2.4,1.75
1.33,3.6,1.35,4.8,1.25,3.16,3.5,1.15,4.8,1.5
1.33,3,1.5,4,1,3,2.5,1.9,4.4,1
1,3.5,1.4,4,1,2.83,3.6,1.8,4,1.25
1,2.3,2.45,4.8,1.75,3.66,3.5,1.5,4.8,1
1.5,3.7,1.05,3.4,2,3.66,3.6,1.4,3.6,1
1.33,1.9,2.75,3.2,2.5,3.5,2.5,2,3.6,1
1.16,2.5,2.25,3.4,2.5,1.83,3.3,1.8,2.6,2
1.16,3.4,2.6,4.4,2,2,3.4,2.05,4.8,2.25
2,2.4,2.1,2.6,2,2,2.3,2.25,2.2,1.75
1.83,3.1,2.15,3.6,1.25,2.33,3.4,1.65,3.2,2
1.5,2,2.85,3.4,2,2.66,2.6,1.8,4,1.75
2.33,2.6,1.3,3.6,2.5,1.66,3.4,1.45,3,2.25
1.16,2,2.7,2.6,2.75,3.66,2.2,1.1,3.8,1
1.16,3.4,1.75,3,1.5,2.83,2.5,1.9,2.4,1
1.66,2.7,3.3,3.8,1.5,3.83,3.2,1.9,4.8,2.25
1.16,2.8,1.9,2.2,2.5,2.66,3,1.5,2.6,2.5
1.33,1.5,2.25,3,1.75,3,2.8,1.55,3.8,1.25
1.5,2.5,2.25,3.6,1.75,3.16,2.5,1.55,4.4,1.25
1,2.9,2.2,3.6,2,3.66,2.7,1.65,4.4,2.25
1.66,3.8,1.9,4.6,1.25,2.5,4,1.7,3,1
1.16,2.9,1.95,2.8,2.25,2.16,3.3,1.05,3,1
1,2.8,2.85,4,1.5,2.5,2.2,2.7,4.4,1
1.33,3.1,1.6,3.2,1.5,3.16,2.8,1.05,3.4,1.25
1.33,3.6,1.9,5,1.5,3,3.8,1.3,5,1.5
2.33,2.7,1.9,4,1.25,2.33,2.9,1.4,3.8,1
1.16,2.9,2.7,3.4,1.5,2.16,3.3,1.5,3.6,1
1.33,3.1,1.65,4.4,1,3.5,3.7,1.65,4.4,1.5
1,3.9,1.25,4.6,2,3.66,3.7,1.5,4.4,1.25
1.66,2.7,2.3,4,2,2.33,2.7,1.55,4,1.5
1.16,3.9,1.45,2.8,1,2.5,3.1,1.25,3,1.25
1.16,3.4,1.9,3.8,1.25,3.5,3.4,1.55,4.8,1.5
1.33,3.7,2.5,4.2,1,2.16,2.8,1.75,3,1.75
2,3.8,1.25,4.4,1.25,3.33,3.6,1.7,4.2,1
2,2.5,1.4,3.8,1.75,2.33,2.6,2.2,4.2,1.75
1.66,3.4,1.6,3.6,1,2.33,2.1,1.7,4.2,1
1.66,3.8,1.15,4.4,1.5,2.83,3.7,1.7,4.8,2
1.83,3,2.05,3,1.5,2.5,3.5,1.65,2.8,1.5
1.66,2.1,2.2,2.8,2.5,3.5,2.4,2.4,3.2,2
1.66,1.9,2.95,3.2,1.75,1.83,2.2,2.55,3,2.25
1.16,3.6,1.45,4,1.5,3.16,3.6,1.55,4.2,1
1.16,2.9,2.1,4,1.75,2.33,2.8,1.25,3.4,2
2,2.5,2.05,3.8,1.25,3,3.3,1.95,4.4,1.25
1.66,3,2.5,4.6,1.5,3.5,3.2,1.8,4,2.5
1.33,1.9,2.7,2.2,1.5,3.16,2,2.65,3,1.75
1.33,3.8,1.9,4.6,1,3.33,3.5,1,4.4,1.75
1.83,3.2,2.8,3.8,1.25,2.16,3.3,2.2,3.8,2
2.16,3.1,2.4,4.2,1.75,2.5,2.8,1.95,4.8,1.25
1.5,3.9,1.2,4.6,1.5,2.66,3.5,1.15,4,1.25
1.66,3.6,1.85,4.2,1,2.16,3.7,1.8,3,1
1,3.4,1.8,4,1.5,3.5,3.9,1,4.6,1.5
1.33,3.4,1.9,3.8,1,3.66,3.9,1.6,4.6,1.25
1.33,3.2,1.8,4,1,2.83,3.1,1.65,4.4,1.25
1.16,3.2,1.75,4.4,2.5,2.83,2.7,2.45,3.6,1.75
1.16,3,2.05,4,1.5,3,3.7,1.1,3.6,1
1.33,3.4,1.75,4.6,1,1.83,3.3,1.8,4,1.25
1.33,3.2,1.3,4.8,1.5,3.66,3.2,1.95,4,1.25
2,2.4,3.4,2.8,2.5,2.66,2.8,2.15,2.8,1.5
1,2.6,3.15,3,2.25,2.66,2.7,1.55,3.8,2.75
1.66,2.7,1.7,4,1.25,2.5,2.5,2.05,3.2,1.75
2.16,1.6,2.95,2.2,3.25,2,1.5,2.2,1.6,2.75
1.16,2.7,2,3.4,2,2.5,3.1,2.2,3,2
1.16,3.5,1.3,4.6,1.5,3.66,2.8,1.8,3.8,1
1.66,3.4,1.35,3.6,2,3.66,2.6,1.7,3.6,1.5
1.33,2.5,1.75,3.2,2.25,3.33,3.1,1.25,3,1
2,2.8,2.55,3.8,2.25,2.5,3.9,1.85,3.4,1.25
1.5,3.2,1.75,4.6,1.5,2,3.2,1.95,3.8,1
1.5,3.1,2.05,4,1.25,3.33,3.6,1.6,4.4,1
1.66,2.8,1.6,4,1.75,3.5,3.4,1.65,4.2,1.75
1.83,3.5,2.2,3.2,2.5,2.33,3.1,1.75,1.6,2
1.33,3.5,1.45,4,1,3.66,3.1,1,4.4,1
1.33,3.7,1.3,4.6,2,3.5,2.5,1.2,3.6,1.5
1.5,2.7,1.7,4.4,1.25,2.66,3.4,1.6,4,1
1.16,3,1.25,4.8,1,3.16,3.9,1.15,4.4,1
1.16,2.7,1.7,4.6,1,3.83,3,1.1,4.8,1
1.83,2.6,1.75,3.4,1.75,3.16,1.7,1.85,3,2.75
1.33,2.3,2.55,3.2,2.25,2.16,2.3,2.65,2.8,2
2.16,3.3,2.3,3.8,1,2.16,3.1,2.85,2.8,2
1.33,2.9,1.9,4.4,1,3.33,3.8,1.85,4.8,1.75
1,3,1.9,4.6,1.25,3.5,2.9,1.4,4.2,1.25
1.83,2.7,1.5,3.6,2.25,1.83,2.9,1.3,3.2,1.25
1.33,3.3,2,3.8,2,2.5,2.9,1.6,4.4,1
1.66,3.3,2.25,3,1.25,2.83,2.5,1.3,4.4,1
1.66,2.1,1,3.2,1.25,3,2.4,1.8,3.2,1.25
1.83,2.9,2.35,3.8,1.25,3.16,2.4,2.2,4,1.5
1.16,2.7,1.85,4.4,1.25,2.16,2.9,1.8,3.4,1
1.33,2.7,1.95,4.2,2,3.16,2.3,2,4.4,1.5
1.16,2.9,1.7,4.2,1.25,2.83,2.9,1.15,4.8,1.25
1.5,3,1.4,4.4,1.25,3.5,3.3,1.8,4.4,1.75
1.16,3.3,1.85,4,1.5,2.83,3.3,2.1,3.4,1.25
1.16,2.9,1.45,3,1.75,3,2.8,1,3.8,1.5
1.83,2.2,2.45,3.4,1.75,2.5,3.3,2.05,3.8,1.75
1.83,3.1,2.5,3,1.75,1.66,3,2.2,3.4,1.25
1.66,2.7,2.7,3.2,1.75,2,2.6,2.85,2.8,2.5
1.16,3.5,2.4,4.2,1.5,3.5,3.6,1.25,4.8,1
2.5,2.6,2.6,2.6,2.75,2.33,2.7,2.4,2.4,1.75
2.16,1.4,2.6,4,2.5,2.16,2.6,1.9,4.6,1.75
1.33,2.6,1.7,4.2,1,3,2.7,1.6,3.6,1.25
1.5,2.8,2.25,4.2,1.25,2.5,2.7,2.15,3.6,1.25
1.83,2.5,1.4,4,1.75,2.83,2.8,1.9,3.8,1.25
1.33,3,1.45,3,1.25,2.33,2,1.9,3.6,1.25
1,2.7,1.6,4.2,1.25,3.16,3.6,1.55,4,1.5
1.83,2.5,2.65,3.4,2.5,2.33,2.6,1.65,3,1.25
1,2.8,1.35,4,1.75,3.66,3.7,1.35,4.4,1.25
1.5,2.3,3.2,2.6,1.5,2.33,3.4,1.1,3,1.75
1.5,3.3,1.9,4,1.25,3.83,3.7,1.55,3.6,1
1.5,2.5,2.3,3.2,1.5,2,1.7,2.6,2,2.75
1.16,3.5,1.95,4.6,1,3.5,3.8,1.25,4.6,1.5
2.66,2.4,1.5,2.8,2.25,2,2.7,1.9,3,1
1.16,3.6,1.95,4.8,1,3.83,3.2,1.75,4.6,1.25
1.33,2.7,2.6,4,1.5,3.16,2.7,1.8,3.6,1.75
1,3.7,1.4,4.4,1.5,2.33,3.8,1.15,3.8,1
1.33,2.5,2.3,3.4,1.75,3,3.1,2.05,3.8,1.25
1,4,1.45,4,1,1.83,3.7,1.85,4,1
1.5,1.7,1.8,3.8,3,2.33,2.7,1.9,4.2,1
1.66,3.8,1,4.6,1,3,3.7,1.65,4,1.25
1.33,3,2.5,2.8,1.25,2.83,3.5,1.4,3.4,1.25
1.5,3.6,1.8,3.6,1.5,2.5,3.5,1.3,4.2,1.5
1.5,1.9,3.1,3.8,1.75,2.66,2.6,2.05,3.4,2.5
1.16,3.3,1.8,4.8,1.75,3.16,3.7,1.1,4.6,1.5
1,3.1,2.5,4.4,1.75,3.5,3.5,1.85,4.2,1.5
1.33,2.9,1.4,3.8,1.25,2.66,2.7,1.6,3.2,2
1.5,2.1,2.35,3.4,1.75,1.66,2.7,2.6,2.8,1.75
1,3.5,1,3.4,1.25,3.33,3.5,1.2,4,1
1.16,2.5,2.75,3,2.25,2.83,2.2,1.65,3.4,1.25
1.66,1.8,1.95,3.8,1.25,3.16,2.9,2.25,3.6,2
1.5,3.4,1.9,3.8,2,3.16,3.3,1.25,4.8,1.5
1.66,3.5,1.6,4.8,1.5,3.66,3,1.85,4.2,1.75
1.16,3.4,1.25,4.6,1.5,3.16,2.8,2.35,4.6,2.25
1.33,3.8,1.65,3.2,2.25,2.66,3.3,1.3,2.6,2
1.16,3.1,1.3,2.6,2,3.16,3,1.75,4,1.75
1,2.4,1.2,3.4,1.75,4,2.9,1.55,4.2,1.25
1.5,3.3,2.1,2.8,1.5,2.33,3.9,1.2,4,1
1.5,3.7,2.3,3.2,1.25,2.33,3.8,2.05,3.8,1.5
1.83,2.1,2.1,3.8,1.5,2.66,2.8,1.7,3.6,2
2.33,2.4,1.85,4.6,1,2.33,3,1.6,4.6,1
1.83,3.2,1.4,4,2,2.66,3.1,2,4.2,2.5
1.66,2.2,2.45,3.4,1.75,2,3.1,2.15,3,2
1,3.4,1.5,4.2,1.25,3.33,2.5,1.95,3.6,1.5
2.16,3.4,1.95,3.8,1.5,2,3.7,2,3.4,1.5
1.83,3.9,1.8,4.6,1.25,3.33,3.8,1.2,4.8,1.5
1.16,3.6,1.05,4.6,1.5,3.16,3.3,1.05,4.8,2.25
1.5,2.5,2.1,3.8,1,1.66,2.3,1.7,3.8,1.25
1.5,3.3,2.05,3.6,1.25,3.5,3.3,1.45,4,1
1.5,1.7,2.25,2.6,2.25,1.66,2.2,2.55,2.6,2.5
1.66,2.6,1.6,4,1,2.33,2.8,2.1,3.2,1
2,2.8,1.4,3.4,2,3.66,3,1.45,4,1.25
1.33,2.8,2.6,3,1.5,2.66,2.8,1.75,3.8,1.5
1.5,3.1,1.3,3.8,2.25,2.83,3.5,1.7,3.8,3
1.16,3.8,1.75,4.8,1.5,3.5,2.8,1.7,4.6,2.25
1.33,3.4,1.4,3.6,1,2.5,3.6,1.1,3.2,2.25
1.33,3,2.35,3.6,3,1.83,2.4,2.45,3,2
1.33,3.4,2.3,3.6,1.75,1.83,3.2,2.15,3,2.5
1.83,3.2,1.55,4.8,1,2.16,3.3,1.3,4.6,1
1,3.3,2.05,4.2,1.5,3.66,3.5,1.5,4.2,1
1.33,2,1.4,4,1.5,3.83,2.5,1.7,4.2,1.25
1.5,3.6,1.3,3.8,1,3.16,3,1.25,4,1.25
1.33,3.3,1.3,4.6,1.75,3,3.9,1.9,4,1.75
1.5,3.1,1.9,2.4,1.25,3.33,3,2.15,3,1.75
1.33,3.2,1.35,3.4,1.25,3.5,3.5,1.6,4.8,1
2.16,3.3,2.05,4.2,1.25,3.5,3.2,2.5,3.8,2.5
2.16,3.5,1.6,4.2,2.25,3.66,2.8,1.95,4,1.5
1.33,3.6,1.9,4.6,1.25,2.33,3.8,1.3,4.2,1.25
1.33,3.9,1.3,4.4,1.25,2.5,3.9,1.15,4.6,1.25
2,2.4,1.9,4,1.5,2.66,3.6,1.7,3.4,1
1.66,2.6,1.2,3.8,1.75,2.33,3.6,1.8,3.2,1
1.33,3.5,1.3,4.2,1,3.16,3.8,1.35,4.8,1
1.16,3.8,1.65,4,1.5,1.5,3.6,1.55,4.2,1
1.16,3.6,1.5,3.8,1,2.83,3.5,1.2,3.4,1
1.16,3.6,1.9,5,1,3.66,3.8,1,4.8,1
1.16,3.1,2.2,3,1.5,2,3,2.25,3.2,1
1.16,2.7,1.85,4,1.75,2.83,2.8,1.45,3,1.5
1.16,3.1,2.7,3.2,2.25,3.33,3.4,2.25,3.6,1.5
1.66,3.3,1.4,3.6,1.5,3.33,3.8,1.85,2.8,1.5
1,3.7,2.5,3.2,1,3,3.3,1.95,4.6,1
1,2.9,1.8,2.8,1.75,2.66,3,1.6,3.4,1.25
1.83,2.3,1.5,3.2,1.5,3.33,3,1.3,3,1
1.5,2.3,1.7,4.6,2.25,3.5,2.3,2.7,4.6,2.5
1.5,3,2.55,2.8,2,3.16,3.1,2.1,3.8,2
1.33,2.8,2,4,1.75,2.66,3,1.9,3.8,2
1.16,3.3,2.45,3.8,1.5,2,3.6,2.2,2.8,1.75
1.33,3.7,1.55,3.6,1.75,2.5,3.1,1.6,3.2,2.5
1.83,2.8,2.35,3.6,2.5,2.16,3.4,1.6,2.6,1.75
2.16,3.3,1.75,4,1.5,3.83,3.4,1.65,4.8,1.5
1.33,3.5,1.7,5,1,3.83,3.8,1.75,4.6,1.5
2,2,1.7,4,1.5,2.83,2.7,1.95,4,2
1.33,3.5,1.75,3,1.75,2.5,3.4,2.2,3.6,1.25
1.83,2.2,2.3,3,2,2.83,2.1,2,2,2.5
1.33,3.4,2.45,3,1.75,2.66,3,1.55,3.8,1.75
2.5,2.3,3.1,3.4,3,2,2.5,2.85,3,2.25
1.66,2.6,2.5,3.6,1,3,2.2,2.7,3.8,1.25
2,3.5,1.4,4.6,1.5,2.83,3.7,1.35,3.2,1.25
1,2.6,1.85,4,1.5,4,2.5,2.05,4,1.75
1.16,3.4,1.75,4.8,1.25,3.66,3.7,1.05,4.8,1.25
1.5,3.1,1.3,4.2,1.25,3.5,2.4,2.6,4.6,1.75
1.66,3.6,1.75,4,2,3.66,3.9,1.95,4.2,1.75
1.5,2.9,1.95,3.4,2,2.16,3.4,1.4,3.8,1.5
2.16,3.9,1.5,4.4,1.5,3.33,3.8,1,4.4,1.25
1.5,2.9,2.75,3.6,1.75,3.16,3.3,2.1,3.6,1.25
1.83,2.5,1,3.8,1.25,2.5,2.4,2,3.2,1.5
1.33,2.2,2.4,3,1.5,2,2.5,2.15,3.6,1.75
1.16,2.7,1.8,4.4,1.5,2.83,2.8,1.4,4.2,1.25
1.83,2.5,3.35,2.4,2.75,2,2.6,2.7,2.8,1
2.66,2.4,1.6,1.8,1,2.83,3.2,1.25,2.4,1.75
1,3.7,1.5,3.8,1.75,3.16,3.8,1.9,4,1
1.16,3.7,1.95,3,2.25,2.83,3.7,1.9,3,1.5
1.5,2.8,1.65,4.6,1.5,3.5,2.6,1.75,4.8,2
1.33,3.2,2.45,4.2,1.25,2.66,3.1,1.95,3.6,1.5
1,2.6,1.85,4.8,1.75,3.5,3.7,1.35,4.6,1
1.33,2.8,2,4.2,1,2.16,3.7,1.45,3.6,2
1.33,3.7,1.65,2.8,1.75,3.66,3,1.4,3.6,1.5
1.83,3.2,1.25,3.2,2,2.16,3,2.1,2.6,2.25
1.83,3.1,1.65,3.2,1.25,2.33,3,1.4,3.4,1.5
1.5,2.9,2.15,3.6,2,2.33,3.2,2.3,3,1.75
1.33,3,1.75,3.6,1.5,2.16,3.3,1.65,4,1.5
1.16,3,2.25,4.6,1,3,3.6,1.35,4.6,1.25
1.33,2.6,1.3,3.4,2.25,3.5,3.6,1.5,4.2,1.25
1,3.1,1.6,4,2,3.66,2.6,1.5,4.2,1.75
2,3.2,1.85,4.2,1.5,2.83,3.4,1.25,4,1.5
1.33,3.3,1.95,4.2,1.25,2.33,4,1.15,4,1.25
1.5,3.7,1.05,4.4,2,3.5,2.8,1.1,4,1.75
1.66,2.7,1.4,3.4,1.25,2.66,3.2,1.85,3.8,1.5
1.83,3.5,1.7,4.4,1.25,2.66,3.5,1.2,4.6,1
1.16,2,2.35,3.6,2.5,3.66,3.3,1.55,3,1.5
1.5,3.5,1.95,3,2.5,2.33,2.9,2.2,2.4,2.25
